id,question_vi,answer_vi,context,category,difficulty,answer_type,source_url,updated_at
HN001,Những điểm tham quan biểu tượng nào ở trung tâm Hà Nội phù hợp cho lịch trình nửa ngày?,"Hồ Hoàn Kiếm – Đền Ngọc Sơn, Phố cổ (Hàng Đào–Hàng Ngang–Hàng Gai), và Nhà thờ Lớn. Ba điểm này nằm trong bán kính đi bộ ~1–1,5 km, thuận tiện kết hợp trong nửa ngày.",Khu trung tâm quận Hoàn Kiếm tập trung các điểm di sản và phố đi bộ. Hồ Hoàn Kiếm nối với Đền Ngọc Sơn qua cầu Thê Húc; Phố cổ có mạng lưới 36 phố; Nhà thờ Lớn cách hồ ~500 m.,Điểm đến,dễ,danh sách,,15/10/2025
HN002,Tôi nên đi Văn Miếu – Quốc Tử Giám vào khung giờ nào để ít đông?,Đi sớm buổi sáng trong tuần (khoảng 08:00–09:00) thường vắng hơn cuối tuần và buổi chiều.,"Văn Miếu là di tích lịch sử – văn hoá, dễ đông vào giờ cao điểm du lịch và ngày cuối tuần. Đi sớm giúp chụp ảnh và tham quan thư thái.",Điểm đến,dễ,mẹo thời gian,,15/10/2025
HN003,Bún chả Hà Nội truyền thống gồm những thành phần nào?,"Thịt ba chỉ nướng lát và chả viên, nước chấm chua ngọt, bún rối, rau sống và đu đủ xanh/ cà rốt ngâm chua.","Bún chả là món đặc trưng Hà Nội: thịt nướng than, ăn kèm nước chấm và bún; rau sống gồm xà lách, tía tô, húng…",Món ăn đặc sản,dễ,mô tả,,15/10/2025
HN004,"Nếu thích phở bò thanh, nước trong, tôi nên thử phong cách nào ở Hà Nội?","Hãy thử phở bò phong cách truyền thống Hà Nội: nước dùng trong, ngọt xương, bánh phở mỏng; thường chan ít mỡ, nêm hành lá và hành củ chần.","Phở Hà Nội thiên về vị thanh, ít gia vị mạnh; các hàng lâu năm giữ phong cách nước dùng trong, ăn kèm quẩy và giấm tỏi.",Món ăn đặc sản,dễ,khuyến nghị phong cách,,15/10/2025
HN005,Chả cá Hà Nội khác gì so với các món cá nướng thông thường?,"Chả cá là cá lọc xương cắt miếng ướp thì là – nghệ – mắm, rán trên chảo với mỡ, ăn kèm bún, lạc rang, hành thì là xào, mắm tôm chanh ớt.","Món “chả cá” nổi tiếng ở Hà Nội với phong cách xào tại bàn; vị đặc trưng từ nghệ, thì là và mắm tôm.",Món ăn đặc sản,trung bình,so sánh – mô tả,,15/10/2025
HN006,Khu Phố cổ Hà Nội phù hợp với du khách thích trải nghiệm gì?,"Đi bộ ngắm kiến trúc nhà ống, ghé chợ Đồng Xuân, cà phê phố, ẩm thực đường phố buổi tối, và các phố nghề truyền thống.","Phố cổ gồm mạng lưới 36 phố; buổi tối có phố đi bộ quanh hồ, nhiều hàng quán và biểu diễn đường phố vào cuối tuần.",Điểm đến,dễ,gợi ý trải nghiệm,,15/10/2025
HN007,Tôi có thể thưởng thức cốm làng Vòng vào mùa nào là ngon nhất?,"Mùa thu (khoảng tháng 9–11) là thời điểm cốm mới, dẻo thơm nhất.","Cốm là đặc sản theo mùa của Hà Nội, thường bán kèm chuối chín/ hồng giòn hoặc chế biến thành bánh cốm, chả cốm.",Món ăn đặc sản,dễ,theo mùa,,15/10/2025
HN008,Một quán phở nổi tiếng ở khu Hoàn Kiếm thường đông vào giờ nào và có mẹo tránh xếp hàng không?,Các quán nổi tiếng thường đông 06:30–08:30 và 18:30–20:30. Mẹo: đi sớm hơn khung giờ cao điểm hoặc ăn xế 10:00–11:00.,Các hàng phở danh tiếng thu hút cả người địa phương lẫn khách du lịch; xếp hàng là thường thấy vào giờ ăn.,Quán ăn nổi tiếng,trung bình,mẹo xếp hàng,,15/10/2025
HN009,Lăng Chủ tịch Hồ Chí Minh có lưu ý trang phục và hành vi nào khi tham quan?,"Trang phục lịch sự, không đội mũ khi vào, giữ trật tự, không chụp ảnh trong khu vực cấm, xếp hàng theo hướng dẫn.",Đây là không gian trang nghiêm; du khách cần tuân thủ quy định an ninh và văn hoá ứng xử.,Điểm đến,dễ,quy tắc – lưu ý,,15/10/2025
HN010,Bún thang Hà Nội có hương vị chủ đạo như thế nào?,"Thanh, nhẹ, thơm từ nước dùng xương gà – tôm khô, điểm mắm tôm rất ít; topping gồm trứng thái sợi, gà xé, giò lụa, củ cải.","Bún thang là món công phu của ẩm thực Hà Nội, nhấn mạnh sự tinh tế và cân bằng vị.",Món ăn đặc sản,trung bình,mô tả,,15/10/2025
HN011,Khu vực nào ở Hà Nội phù hợp để trải nghiệm cà phê view hồ?,"Khu Hồ Tây (quanh đường Thanh Niên, Trích Sài, Quảng An) có nhiều quán cà phê nhìn ra mặt nước.","Hồ Tây là hồ lớn nhất Hà Nội, cảnh quan thoáng đãng, hoàng hôn đẹp, phù hợp thư giãn.",Điểm đến,dễ,gợi ý khu vực,,15/10/2025
HN012,Bún đậu mắm tôm ở Hà Nội thường ăn kèm những gì?,"Đậu phụ rán, bún lá, chả cốm, thịt ba chỉ luộc, dồi rán, rau thơm và mắm tôm pha chanh ớt đường.",Món ăn dân dã phổ biến tại nhiều quán vỉa hè lẫn nhà hàng; mắm tôm có thể thay bằng nước mắm tuỳ khẩu vị.,Món ăn đặc sản,dễ,mô tả,,15/10/2025
HN013,Một buổi tối ẩm thực đường phố quanh Hồ Hoàn Kiếm nên thử những món nào?,"Bánh gối, nem rán, phở cuốn, chè, kem Tràng Tiền, nước mía/ sấu đá; kết hợp tản bộ phố đi bộ cuối tuần.","Khu vực hồ và phố đi bộ (cuối tuần) tập trung nhiều hàng quán, thuận tiện đi bộ và ăn vặt.",Trải nghiệm ẩm thực,dễ,gợi ý thực đơn,,15/10/2025
